CLASS,ID
Dawn,1172526071808
Bug,1103806595072
Bird,1108101562368
Mech,1168231104512
Reptile,1120986464256
Dusk,1176821039104
Aquatic,1116691496960
Beast,1099511627776
Plant,1112396529664
Radiant,1020847100762815390390123824494327889920
